id,date,city_name,neighborhood_name,latitude,longitude,n_mortos,n_feridos,n_agentes_mortos,n_civis_mortos,n_homens_mortos,n_mulheres_mortos,n_trans_mortos,n_homens_feridos,n_mulheres_feridos,n_vitimas
e5677424-60a3-4668-9a36-72bdebcb82be,2023-08-24T21:00:00Z,Rio De Janeiro,Santa Cruz,-22.926002384411092,-43.691987320100374,1,0,1,0,1,0,0,0,0,1
e56fc5d7-eb15-41db-8855-fed20de13a6a,2018-07-09T16:00:00Z,Rio De Janeiro,Cidade De Deus,-22.950823,-43.354177,0,1,0,0,0,0,0,1,0,1
e578a659-5d29-4e84-af39-ced2786b1aa7,2021-01-22T01:00:00Z,Japeri,Lagoa Do Sapo,-22.6476399,-43.6651154,1,3,0,1,1,0,0,3,0,4
e57ad1e1-6d3a-4a5f-946e-f5cf95873e80,2022-10-07T18:00:00Z,Nova Iguaçu,Marapicu,-22.8035775,-43.58745030000001,0,1,0,0,0,0,0,1,0,1
e596b524-abe5-4b3f-a771-2c2cd6ee4a1f,2022-10-22T05:30:00Z,Nova Iguaçu,Marapicu,-22.8038784,-43.58697,0,2,0,0,0,0,0,2,0,2
e5ae13bf-7989-42f0-a423-e7139e40b537,2018-06-25T08:00:00Z,Maricá,Jacaroa,-22.932391,-42.8082282,3,0,0,3,3,0,0,0,0,3
e5afa766-db57-428f-a067-d963c3fdcf75,2022-07-02T07:45:00Z,São Gonçalo,Camarao,-22.8284507,-43.0635542,1,0,0,1,0,1,0,0,0,1
e5b050a0-a0bb-4960-aee8-b2fb85918906,2018-01-26T00:00:00Z,Rio De Janeiro,Maracana,-22.9193466,-43.2338864,0,1,0,0,0,0,0,1,0,1
e5bc2dfe-0c40-4761-8a23-6d6326f1d093,2018-12-20T09:30:00Z,Rio De Janeiro,Guadalupe,-22.836332,-43.380664,0,4,0,0,0,0,0,1,0,4
e5cb2046-5857-4933-b54d-8e921e2ad7db,2019-07-30T18:09:00Z,Belford Roxo,Sao Vicente,-22.7155267,-43.3758165,1,0,0,1,1,0,0,0,0,1
e5d8fa5a-4226-462c-b8ca-5c6483dc7998,2018-02-09T23:00:00Z,São Gonçalo,Itauna,-22.79162,-43.031054,1,2,0,1,1,0,0,2,0,3
e5df1389-ab68-4fa4-86ae-8e3960bf8e58,2022-02-14T14:00:00Z,São Gonçalo,Marambaia,-22.797763,-42.94446,1,0,0,1,1,0,0,0,0,1
e5e3051f-aa1e-4ea0-b8b9-049c5672d3d4,2019-06-22T16:30:00Z,Rio De Janeiro,Complexo Do Alemao,-22.8622012,-43.2638393,0,1,0,0,0,0,0,1,0,1
